Nombre;ROA2024
MANDRAGORA DECORACION SL.;45,03
BENMARK RESOURCES SL.;27,58
CONSULTORIA INFORMATICA Y ELECTRONICA ISALUS S.L.;26,24
SOLUCIONES TECNO-PROFESIONALES PROJECTS S.L.;4,01
HISPANIC FIBER FAST SOCIEDAD LIMITADA.;14,82
DIGITALMENTA MARKETING SOCIEDAD LIMITADA.;28,84
SISTEMAS VIRTUALES AR VR, SOCIEDAD LIMITADA.;1,96
INETUM ELECTRONIC SECURITY SA.;22,51
RINDUS TECHNOLOGY 6 SL.;43,26
AETRON SERVICIOS ADMINISTRATIVOS AVANZADOS SL.;63,82
TALENT HACKERS SL.;6,23
METALINOX MANTENIMIENTOS Y EQUIPAMIENTOS INDUSTRIALES S.L.;73,92
INTERMARK DATA SL.;5,37
UCADEMY SL.;-71,17
AT ENTERPRISE ZOOM SL.;61,88
NOVATEC SOLUCIONES Y PROYECTOS SL.;37,67
NATURAL ROUND SL.;30,38
LA COMPAGNIE DES ANIMAUX ESPAÑA S.L.;-42,1
CYRUSONE MADRID 1 SL.;-0,88
PAYFLOW EUROPE SL.;8,11
EVOA REDES SL.;-42,19
FLOMOCOM SOCIEDAD LIMITADA.;3,88
LINC-EVOLUTION SL.;23,06
TOTALFAN CYL SL.;21,61
SERVICIOS TECNOLOGICOS OK CARGO SL.;-8,94
GRAVITAD SYSTEMS, SOCIEDAD LIMITADA.;1,82
INNUSUAL TECH SERVICES SL.;15,47
360 CONSULTING PEOPLE SL.;2,83
BRINDIS, DISSENY I SERVEIS, SOCIEDAD LIMITADA.;38,25
PLAY YOUR BRAND S.L.;-6,48
LANG LASER IBERIA S.L.;3,54
A-CERO 0 DECORACION Y CONSTRUCCION SL.;38,81
VANITY BISS SL.;76,37
ONE TEAM IBERIA SOLUTIONS SL.;26,82
BLUE THINGS CONNECT SOCIEDAD LIMITADA.;1,77
LA CODIFICACION VLC SOCIEDAD LIMITADA.;58,71
HOLISTICA VIRTUAL, SOCIEDAD LIMITADA.;1,52
TYRIS TV SOCIEDAD LIMITADA.;-30,31
HISPATEC MANTENIMIENTO SOCIEDAD LIMITADA.;7,19
AJM ATXUKARRO SOCIEDAD LIMITADA.;32,14
NETLOGISTIK EMEA S.L.;-9,65
SICORE DIRECCION Y COORDINACION INTEGRAL DE EMPRESAS S.L.;2,73
LUYTEL EXTERNALIZACION SOCIEDAD LIMITADA.;29,72
EXPERIENCE SERVICES AND SOLUTIONS SL.;152,34
BYTA VALORES SL.;52,09
APPCELERATE DIGITAL COMMUNICATIONS SL.;18,29
TECNICA ALCOYANA E INDUSTRIAL ASOCIADA SL.;49,05
BARSEG PROTECCIONES COLECTIVAS SL.;11,85
HOTELVERSE TECHNOLOGIES SL.;-20,91
ALDAKIN S L.;2,65
CRG CONSULTING BUSINESS SL.;31,85
STARLINK SPAIN SL.;3,41
DOOLE HEALTH S.L.;2,66
IKONS IBERICA SL.;34,58
AT SEA INTERACTIVE SL.;13,76
4FLOW SPAIN S.L.;22,77
APPIA GROUP BY VGG S.L.;15,82
GYRUS DATA SOLUTIONS SL.;28,33
OPTIMUS EUROPE SOCIEDAD LIMITADA.;0,72
AGICAP ESPAÑA SL.;-21,16
ELECTTRONICS GONSUA, SOCIEDAD LIMITADA.;17,93
ELITE MEDIA APPLICATIONS S.L.;2,76
JAMMERSIMPLYCONNECT SL.;70,29
KUIK IT SL.;1
ATLAS VALUE MANAGEMENT SL.;30,83
BIXOTO IBERIA S.L.;1,6
GESTORIA DE SUBVENCIONES SL.;91,86
TEMPLUS MALAGA SL.;10,5
GLOBAL ASSET SOLUTIONS EUROPE S.L.;47,68
TRILOGI THE ECOMMERCE AGENCY S.L.;11,13
PODA CONSULTORA SOCIEDAD LIMITADA.;57,73
EISA AUTOMATIZACION SL.;41,71
TRENDING NEW TECHNOLOGIES SL.;46,19
COGIFAR TECH SL.;3,89
SASCANFIT SLU;52,43
ADA CLOUD SOCIEDAD LIMITADA.;-3,01
EDUJOY GAMES SOCIEDAD LIMITADA.;-0,31
INOTECH SPAIN METER CALIBRATION SYSTEMS S.L.;5,7
MAARLAB RETHINKING SL.;16,99
STV 3.0 SOCIEDAD LIMITADA.;20,97
ANTEA FORMACION Y CONSULTING SL.;72,93
KUIK CODE SL.;12,31
CROSSMINT EUROPE SL.;36,03
FERRI DRIVE & CONTROL SL.;24,31
DGH TECHNOLOGICAL SOLUTIONS SL.;31,73
MEGA WORLD WIDE S.L.;11,85
EL SECRETO DEL UNICORNIO, SOCIEDAD LIMITADA.;4,95
P1 TECHNOLOGIES SPAIN SL.;12,19
ICONSULTING365 SOLUCIONES TECNOLOGICAS SL.;9,74
WOLO REALTECH S.L.;-15,22
BUHO MOBILE SL.;20,34
ADVISORY EXPERTS SL.;18,08
PLA LITIGATION FUNDING SA.;34
OFFYOUGO MOBILITY SL.;-19,87
CABLE INSTALACIONES SOCIEDAD LIMITADA.;5,02
SERMES CONSULTING INNOVACION SL.;11,44
REDSA FUTURE HEALTH SL.;34,1
ECX SANT BOI DE LLOBREGAT BARCELONA S.L.;-4
YPH DIGITAL MALACITANA SL.;13,8
AUDINFOR CLOUD SOCIEDAD LIMITADA.;48,48
DEVOL RPA SOCIEDAD LIMITADA.;15,73
ERUM VIAL SL.;-8,79
HABILON ELEARNING SL.;27
ARKEERO MEDIA SL.;-8,13
EPSUMMA MEDIA SL.;10,97
RED CORPORATE TELECOM SL.;17,15
PIENSA AUDIOVISUAL SL.;2,62
FUTURE MOTORS IBERIA SL.;-4,36
DIGITAL TECHNOLOGY PREVENTOR 2020 SL.;23,19
KAPPA OPTRONICS SL.;33,66
LICENSEPRO SOFTWARE SPAIN S.L.;5,4
AGC PROCIVIL SL.;56,16
SUMINISTROS ELECTRICOS Y ELECTRONICOS DEL SUR SOCIEDAD LIMITADA;10,31
DESPUES SERA TARDE SL.;24,58
ALICE BIOMETRICS SOCIEDAD LIMITADA.;-12,58
L2021 INFORMATICA SL.;44,9
HAIVISION MEDIA TECHNOLOGIES SL.;6,31
GRAFTECH DIGITAL, SOCIEDAD LIMITADA.;1,06
THE BUTTERFLIES GROUP SL.;32,35
MAYORAZGO FITTNESS, SOCIEDAD LIMITADA.;13,83
KEYWEO COMMUNICATION S.L.;46,42
VICTO POSTANOVA S.L.;53,13
DIVERGER THINKING SL.;3,53
